movieId,person_tmdbId
1,7879
2,4945
3,26502
4,2178
5,56106
6,638
7,2226
8,18357
9,37710
10,10702
11,3026
12,14639
13,21879
14,1152
15,16938
16,1032
17,1614
18,3110
18,2294
18,138
18,3111
19,4489
20,52629
21,5174
22,15148
23,7187
24,56349
25,6111
26,56710
27,15798
28,7017
29,2419
29,13680
30,607
31,60295
32,280
34,58137
35,12952
36,504
37,77867
38,17167
39,57434
40,16730
41,33315
42,11447
42,11448
43,52405
44,4014
45,5216
46,3047
47,7467
48,65531
48,65530
49,55439
50,9032
52,1243
53,128107
54,71338
55,140354
57,1038
58,28898
59,38527
60,7908
61,19304
62,18356
63,45649
64,49361
65,57870
66,69721
68,35137
69,37932
70,2294
71,70850
72,5656
73,16862
74,10296
76,25735
77,1080309
78,2228
79,18069
80,120229
81,5501
82,13496
83,27771
84,117075
85,55038
86,578
87,29009
88,58448
89,12840
92,3224
93,5140
94,34849
95,11401
96,11181
97,2406
98,4014
99,92561
100,23213