transaction_id,from_account,to_account,amount,transaction_date,transaction_type,description
TXN-001,ACC-001,ACC-003,250.00,2023-02-22,Transfer,Transfer to Robert Chen
TXN-002,ACC-004,ACC-001,125.50,2023-03-12,Transfer,Payment for services
TXN-003,ACC-007,ACC-010,500.00,2023-04-07,Transfer,Monthly rent payment
TXN-004,ACC-010,ACC-014,750.25,2023-06-10,Transfer,Investment distribution
TXN-005,ACC-014,ACC-020,300.00,2023-09-05,Transfer,Consulting fee
TXN-006,ACC-020,ACC-007,175.80,2024-01-11,Transfer,Expense reimbursement
TXN-007,ACC-001,,1500.00,2023-01-20,Deposit,Salary deposit
TXN-008,ACC-003,,2000.00,2023-02-25,Deposit,Freelance payment
TXN-009,ACC-004,,850.00,2023-03-15,Deposit,Tax refund
TXN-010,ACC-007,,3200.00,2023-04-10,Deposit,Salary deposit
TXN-011,ACC-008,,1800.00,2023-05-17,Deposit,Contract payment
TXN-012,ACC-010,,4500.00,2023-06-12,Deposit,Bonus payment
TXN-013,ACC-012,,2100.00,2023-07-26,Deposit,Salary deposit
TXN-014,ACC-013,,950.00,2023-08-18,Deposit,Side business income
TXN-015,ACC-014,,2800.00,2023-09-07,Deposit,Commission payment
TXN-016,ACC-001,,-125.00,2023-01-25,Withdrawal,ATM withdrawal
TXN-017,ACC-003,,-85.50,2023-03-01,Withdrawal,Grocery shopping
TXN-018,ACC-007,,-200.00,2023-04-15,Withdrawal,Utility payment
TXN-019,ACC-010,,-350.75,2023-06-20,Withdrawal,Credit card payment
TXN-020,ACC-014,,-75.25,2023-09-12,Withdrawal,Gas station
TXN-021,ACC-020,,-450.00,2024-01-15,Withdrawal,Rent payment
TXN-022,ACC-023,,-125.80,2024-03-25,Withdrawal,Restaurant meal